,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
1034,547,BRITANNIA-EQ,BRITANNIA,,-1.0,1,,NSE,5.0
1037,13925,NFL-EQ,NFL,,-1.0,1,,NSE,5.0
1038,18889,KSL-EQ,KSL,,-1.0,1,,NSE,5.0
1041,6297,HEALTHY-EQ,HEALTHY,,-1.0,1,,NSE,1.0
1049,14848,ALPA-EQ,ALPA,,-1.0,1,,NSE,5.0
1050,24265,ESTER-EQ,ESTER,,-1.0,1,,NSE,5.0
1051,1255,GOLDENTOBC-EQ,GOLDENTOBC,,-1.0,1,,NSE,5.0
1055,17514,SETCO-EQ,SETCO,,-1.0,1,,NSE,5.0
1059,15229,LICNFNHGP-EQ,LICNFNHGP,,-1.0,1,,NSE,1.0
1060,3493,TINPLATE-EQ,TINPLATE,,-1.0,1,,NSE,5.0
1062,13147,PVR-EQ,PVR,,-1.0,1,,NSE,5.0
1063,11606,GUFICBIO-EQ,GUFICBIO,,-1.0,1,,NSE,5.0
1066,2275,IRISDOREME-EQ,IRISDOREME,,-1.0,1,,NSE,5.0
1068,4491,JCHAC-EQ,JCHAC,,-1.0,1,,NSE,5.0
1069,10576,NIFTYBEES-EQ,NIFTYBEES,,-1.0,1,,NSE,1.0
1071,368,BASF-EQ,BASF,,-1.0,1,,NSE,5.0
1080,919,EIHOTEL-EQ,EIHOTEL,,-1.0,1,,NSE,5.0
1082,1922,KOTAKBANK-EQ,KOTAKBANK,,-1.0,1,,NSE,5.0
1085,7852,INOXWIND-EQ,INOXWIND,,-1.0,1,,NSE,5.0
1090,25897,MINDACORP-EQ,MINDACORP,,-1.0,1,,NSE,5.0
1093,9039,UFO-EQ,UFO,,-1.0,1,,NSE,5.0
1094,20196,BEDMUTHA-EQ,BEDMUTHA,,-1.0,1,,NSE,5.0
1098,13517,EMAMILTD-EQ,EMAMILTD,,-1.0,1,,NSE,5.0
1103,8477,XELPMOC-EQ,XELPMOC,,-1.0,1,,NSE,5.0
1104,5049,CLEAN-EQ,CLEAN,,-1.0,1,,NSE,5.0
1110,21614,ABCAPITAL-EQ,ABCAPITAL,,-1.0,1,,NSE,5.0
1122,6643,SJS-EQ,SJS,,-1.0,1,,NSE,5.0
1123,3001,ICICI500-EQ,ICICI500,,-1.0,1,,NSE,1.0
1126,15409,NESCO-EQ,NESCO,,-1.0,1,,NSE,5.0
1131,13821,RUCHIRA-EQ,RUCHIRA,,-1.0,1,,NSE,5.0
1132,14334,HSCL-EQ,HSCL,,-1.0,1,,NSE,5.0
1134,17945,SUVENPHAR-EQ,SUVENPHAR,,-1.0,1,,NSE,5.0
1137,13735,GLOBALVECT-EQ,GLOBALVECT,,-1.0,1,,NSE,5.0
1150,11979,HTMEDIA-EQ,HTMEDIA,,-1.0,1,,NSE,5.0
1152,11287,UPL-EQ,UPL,,-1.0,1,,NSE,5.0
1163,6462,TECH-EQ,TECH,,-1.0,1,,NSE,1.0
1168,619,CENTENKA-EQ,CENTENKA,,-1.0,1,,NSE,5.0
1171,2909,RICOAUTO-EQ,RICOAUTO,,-1.0,1,,NSE,5.0
1185,11543,COFORGE-EQ,COFORGE,,-1.0,1,,NSE,5.0
1188,13844,MMFL-EQ,MMFL,,-1.0,1,,NSE,5.0
1192,2043,RAMCOCEM-EQ,RAMCOCEM,,-1.0,1,,NSE,5.0
1197,1467,AKZOINDIA-EQ,AKZOINDIA,,-1.0,1,,NSE,5.0
1201,5751,SANSERA-EQ,SANSERA,,-1.0,1,,NSE,5.0
1203,203,ASHAPURMIN-EQ,ASHAPURMIN,,-1.0,1,,NSE,5.0
1207,920,EQUITASBNK-BL,EQUITASBNK,,-1.0,1,,NSE,5.0
1209,937,ELGIEQUIP-EQ,ELGIEQUIP,,-1.0,1,,NSE,5.0
1210,18102,KOTAKNIFTY-EQ,KOTAKNIFTY,,-1.0,1,,NSE,1.0
1213,3530,AXISBPSETF-EQ,AXISBPSETF,,-1.0,1,,NSE,1.0
1232,8632,KOTAKLOVOL-EQ,KOTAKLOVOL,,-1.0,1,,NSE,1.0
1238,928,ELECTCAST-EQ,ELECTCAST,,-1.0,1,,NSE,5.0
1244,11480,KRIDHANINF-EQ,KRIDHANINF,,-1.0,1,,NSE,5.0
1245,20852,ZEELEARN-EQ,ZEELEARN,,-1.0,1,,NSE,5.0
1250,3432,TATACONSUM-EQ,TATACONSUM,,-1.0,1,,NSE,5.0
1253,11032,SANGINITA-EQ,SANGINITA,,-1.0,1,,NSE,5.0
1254,628,CESC-EQ,CESC,,-1.0,1,,NSE,5.0
1255,18226,MANINFRA-EQ,MANINFRA,,-1.0,1,,NSE,5.0
1257,22433,HBANKETF-EQ,HBANKETF,,-1.0,1,,NSE,1.0
1260,15259,RPOWER-EQ,RPOWER,,-1.0,1,,NSE,5.0
1261,471,BINDALAGRO-EQ,BINDALAGRO,,-1.0,1,,NSE,5.0
1262,2475,ONGC-EQ,ONGC,,-1.0,1,,NSE,5.0
1264,184,TCPLPACK-EQ,TCPLPACK,,-1.0,1,,NSE,5.0
